STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170406,-9999,-9999,0.04,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170409,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170410,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170411,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170412,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170413,-9999,-9999,0.03,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170414,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170415,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NYWC0003,WHITE PLAINS 3.1 NNW NY US,20170416,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170101,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170102,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170103,-9999,-9999,0.24,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170104,-9999,-9999,0.55,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170105,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170106,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170107,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170108,-9999,-9999,0.11,1.5,1.6,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170109,-9999,-9999,0,1,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170110,-9999,-9999,0,1,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170111,-9999,-9999,0.27,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170112,-9999,-9999,0.24,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170113,-9999,-9999,0.02,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170114,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170115,-9999,-9999,0.05,0.5,0.6,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170116,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170117,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170118,-9999,-9999,0.39,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170119,-9999,-9999,0.02,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170120,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170121,-9999,-9999,0.1,-9999,-9999,-9999,-9999,-9999,-9999
